Target,Group,Selected model,Forecast start,Forecast end,Expected change,Expected percent change
Science and Education,Content category,Prophet,40.51126096260288,55.19333743906326,14.682076476460374,36.241963660459305
Mental Health and Self Improvement,Content category,Prophet,11.297821767922095,15.257248852905478,3.9594270849833837,35.04593333402891
Entertainment and Media,Content category,ARIMA,5.236427210886087,6.484910609089827,1.2484833982037395,23.842275427953023
Artificial Intelligence and Technology,Content category,ARIMA,3.714671664294998,4.4800481070949925,0.7653764427999943,20.604147875482663
Culture Food and Travel,Content category,TFT,54.15636444091797,56.111507415771484,1.9551429748535156,3.6101813316345215
Personal Finance,Content category,ARIMA,1.232595164407831e-32,1.232595164407831e-32,0.0,0.0
News and Politics,Content category,ARIMA,100.0,100.0,0.0,0.0
Gaming,Content category,TFT,31.532470703125,31.012449264526367,-0.5200214385986328,-1.6491618156433105
Sports,Content category,TFT,50.60333251953125,46.650333404541016,-3.9529991149902344,-7.811737060546875
Lifestyle and Advice,Content category,TFT,0.003966417163610458,0.0,-0.003966417163610458,-100.0
